,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
29,601318.SH,中国平安,长期,20230210,49.3,4.8305,9.3445,36.67%,69.67%,6.5~11.88,6.98~13.5,6.94~14.96,
30,002415.SZ,海康威视,,20230210,36.7,2.4705,23.4178,37.67%,58.0%,16.26~40.54,17.42~39.28,17.27~39.81,
31,300450.SZ,先导智能,,20230210,46.45,1.0748,32.3881,38.0%,29.67%,32.11~116.43,18.29~102.63,23.53~101.37,
32,000651.SZ,格力电器,长期,20230210,34.27,8.6068,7.5025,39.0%,37.33%,4.59~21.37,5.53~19.39,6.3~18.82,
33,600085.SH,同仁堂,长期,20230210,45.25,0.6409,47.3645,39.0%,90.33%,35.53~52.69,32.24~51.54,34.29~51.57,
34,603811.SH,诚意药业,,20230210,14.78,1.6915,22.26,40.33%,64.0%,16.83~30.63,17.38~32.58,13.82~42.56,
35,603833.SH,欧派家居,,20230210,125.16,1.3982,29.9856,40.33%,66.67%,22.16~43.5,20.57~43.69,21.25~46.85,
36,603899.SH,晨光股份,长期,20230210,54.2,1.108,37.6061,42.0%,60.67%,25.81~66.91,27.4~61.12,25.96~57.34,
37,000049.SZ,德赛电池,,20230210,48.02,1.5666,15.8306,43.33%,56.67%,12.65~24.63,12.84~23.66,8.68~39.42,
38,300482.SZ,万孚生物,,20230210,34.68,0.8614,12.3617,47.0%,17.0%,4.6~68.42,12.86~67.1,16.43~82.37,
39,600519.SH,贵州茅台,长期,20230210,1810.0,2.408,38.1536,48.33%,69.67%,34.09~57.07,25.16~54.32,20.81~51.77,
40,601155.SH,新城控股,,20230210,20.53,,4.6018,51.33%,46.67%,3.6~7.0,2.79~10.59,2.82~14.14,
41,603288.SH,海天味业,长期,20230210,77.7,0.8892,54.3042,51.67%,60.33%,46.86~95.6,39.58~87.84,26.66~83.94,
42,002508.SZ,老板电器,,20230210,29.85,1.6663,23.1672,53.0%,87.33%,16.65~24.83,14.57~24.69,14.35~30.39,
43,000538.SZ,云南白药,长期,20230210,56.08,2.0372,37.9115,62.0%,101.67%,23.86~38.16,23.13~36.87,22.9~36.36,
44,002304.SZ,洋河股份,,20230210,171.97,1.7439,27.667,65.33%,71.0%,20.28~41.6,15.92~38.44,14.77~36.13,
45,603848.SH,好太太,,20230210,13.46,1.8574,21.2396,66.33%,68.33%,15.56~23.62,12.9~33.92,10.66~38.72,
46,300015.SZ,爱尔眼科,长期,20230210,32.6,0.2773,87.3975,68.0%,54.33%,65.03~176.45,54.57~158.15,41.56~147.0,
47,603868.SH,飞科电器,,20230210,68.09,1.4686,33.7082,71.33%,79.33%,22.71~42.83,17.51~40.17,19.36~43.76,
48,002271.SZ,东方雨虹,,20230210,35.13,0.8506,27.8074,71.67%,71.0%,20.81~41.45,14.22~38.9,14.81~37.01,
49,603886.SH,元祖股份,,20230210,20.2,4.9505,15.8469,73.33%,67.0%,11.52~18.26,11.25~22.59,6.52~34.88,
50,000661.SZ,长春高新,长期,20230210,201.28,0.395,19.9912,76.33%,26.33%,6.95~79.39,14.86~74.58,18.47~69.59,
51,603369.SH,今世缘,,20230210,63.03,0.9303,32.7852,79.33%,77.0%,21.82~45.62,17.72~42.16,16.08~39.38,
52,000858.SZ,五粮液,长期,20230210,204.7,1.4768,30.5145,79.33%,59.33%,21.01~55.77,16.87~50.59,14.28~47.3,
53,603605.SH,珀莱雅,,20230210,168.86,0.3611,67.7027,80.33%,77.33%,60.09~86.61,33.13~87.67,30.04~87.42,
54,300357.SZ,我武生物,,20230210,54.03,0.372,72.4224,80.67%,59.0%,55.67~131.87,41.76~120.84,30.21~112.21,
55,300595.SZ,欧普康视,,20230210,36.5,0.3808,52.9341,83.67%,36.67%,41.63~159.15,26.73~139.87,23.38~132.26,
56,603203.SH,快克股份,,20230210,35.54,2.7968,33.0682,87.67%,97.67%,21.14~29.16,19.52~30.62,13.84~45.04,
57,600276.SH,恒瑞医药,长期,20230210,43.6,0.3669,79.5458,88.67%,87.33%,40.84~94.22,46.33~91.37,39.47~87.41,
58,600436.SH,片仔癀,长期,20230210,306.88,0.3943,74.9869,90.67%,64.67%,52.1~126.6,37.51~114.85,32.6~105.92,
59,603444.SH,吉比特,,20230210,368.81,8.1342,20.7928,92.33%,53.33%,11.29~41.31,10.03~36.89,11.13~37.97,
60,603639.SH,海利尔,,20230210,25.88,3.869,15.4686,100.0%,67.67%,12.21~19.31,10.75~19.59,4.66~33.64,
61,603039.SH,ST泛微,,20230210,60.2,0.2456,59.2056,100.67%,45.67%,22.16~137.5,35.63~127.49,34.99~123.03,
62,002901.SZ,大博医疗,,20230210,37.36,1.3383,36.0575,103.0%,50.33%,14.83~74.33,19.27~68.39,20.07~69.83,
63,600690.SH,海尔智家,,20230210,26.16,1.7402,16.6997,107.67%,55.33%,9.49~33.61,7.47~29.51,7.39~27.15,
64,603801.SH,志邦家居,,20230210,31.81,1.8675,19.0614,111.33%,58.33%,10.54~29.06,8.45~32.39,8.3~36.62,
65,600809.SH,山西汾酒,长期,20230210,287.01,0.6272,46.4229,116.33%,49.33%,33.14~103.62,18.78~92.58,17.68~84.92,
66,300701.SZ,森霸传感,,20230210,9.39,1.1786,38.439,124.67%,76.67%,16.01~42.39,18.19~51.97,17.17~56.77,
67,603198.SH,迎驾贡酒,,20230210,70.56,1.2755,34.7797,128.33%,94.33%,18.32~38.96,13.25~35.71,14.85~35.73,
68,600763.SH,通策医疗,,20230210,155.01,,83.1304,208.33%,49.33%,42.79~190.05,28.11~164.95,19.04~149.42,
69,603180.SH,金牌厨柜,,20230210,35.25,3.0095,15.7882,259.33%,45.67%,11.42~24.04,4.21~39.25,2.79~48.93,
70,300571.SZ,平治信息,,20230210,38.08,0.2889,28.5327,486.67%,63.0%,17.23~31.03,10.62~47.5,2.15~74.97,
