,证券代码,证券简称,上市年份,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
50,300726.SZ,宏达电子,2017,,20230320,43.73,1.3721,0.64,21.4673,133.0%,28.5%,20.73,7.61~76.33,11.63~72.97,,2.25,0.28,29.87,12.76,,,
51,002271.SZ,东方雨虹,2008,,20230320,32.5,0.9194,0.83,25.7256,138.0%,56.0%,22.73,16.18~46.42,8.07~44.95,,2.25,0.27,20.63,51.15,,,
52,002833.SZ,弘亚数控,2016,,20230320,16.79,2.2122,2.98,14.9803,147.5%,42.0%,24.75,5.21~36.53,7.18~34.08,,2.0,0.5,27.21,23.72,,,
53,600809.SH,山西汾酒,1994,长期,20230320,266.23,0.6761,0.32,43.0618,149.0%,41.0%,30.23,27.95~109.23,12.49~98.59,,1.75,0.85,37.42,47.02,,,
54,300450.SZ,先导智能,2015,,20230320,38.56,1.2947,0.75,26.8867,160.5%,22.0%,21.81,7.84~138.76,14.96~104.74,修正标准差,2.25,0.29,31.15,57.7,,,
55,603444.SH,吉比特,2017,,20230320,401.02,7.4809,2.27,22.6088,178.0%,54.5%,29.83,8.44~43.3,7.82~39.1,,1.75,9.12,67.13,23.01,,,
56,300630.SZ,普利制药,2017,,20230320,26.18,0.7306,0.73,23.706,203.5%,26.5%,23.04,11.14~74.64,5.99~103.27,,2.25,0.19,20.24,30.0,,,
57,603638.SH,艾迪精密,2017,,20230320,17.47,0.688,1.03,59.9244,209.0%,66.5%,21.72,28.79~91.29,14.59~86.93,,2.25,0.18,23.53,29.89,,,
58,600690.SH,海尔智家,1993,,20230320,23.08,1.9724,1.65,14.7335,221.0%,41.5%,19.31,5.84~37.5,3.77~33.15,,2.0,0.38,34.95,66.12,,,
59,002901.SZ,大博医疗,2017,,20230320,39.42,1.278,1.42,37.7611,227.5%,50.0%,30.19,9.36~78.04,14.98~72.32,,1.75,0.56,48.95,17.49,,,
60,300595.SZ,欧普康视,2017,,20230320,31.84,0.4365,0.5,46.176,308.0%,27.0%,26.56,19.3~179.48,8.0~158.52,,2.0,0.16,19.24,11.79,,,
61,000651.SZ,格力电器,1996,长期,20230320,37.1,10.6372,5.55,8.1221,310.0%,35.0%,23.67,1.47~24.13,3.02~21.56,,2.0,2.06,46.15,61.2,,,
62,300571.SZ,平治信息,2016,,20230320,36.05,0.3051,0.61,27.0117,510.5%,63.5%,32.07,13.91~34.27,2.63~54.27,,2.25,0.22,14.21,56.17,,,
63,600763.SH,通策医疗,1996,,20230320,131.42,,0.06,70.4793,687.5%,34.5%,20.27,18.66~214.42,5.88~187.56,,2.0,0.08,17.52,34.43,,,
64,600309.SH,万华化学,2001,长期,20230320,97.08,2.5752,1.77,18.7697,1552.0%,51.5%,35.67,2.09~38.93,0.78~34.04,,1.75,1.72,41.66,56.12,,,
65,603180.SH,金牌厨柜,2017,,20230320,37.56,2.8245,2.48,21.0421,8794.5%,64.0%,21.88,8.26~27.18,0.12~41.24,,2.25,0.93,32.75,48.19,,,
