,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,五年股息率,PE_TTM,距离买点%,距离卖点%,五年ROE,三年估值范围,五年估值范围,数据修正,标准差倍数,五年平均每股分红,五年平均分红率,五年平均负债率,买入日期,买入价格,买入PE
48,603369.SH,今世缘,,20230224,62.56,0.9373,0.66,32.5408,65.0%,74.0%,20.74,21.95~45.65,17.82~42.2,,1.5,0.41,35.75,30.0,,,
49,002901.SZ,大博医疗,,20230224,36.81,1.3686,1.52,35.2609,65.5%,52.5%,30.19,19.53~68.87,23.32~64.24,,1.25,0.56,48.95,17.49,,,
50,002833.SZ,弘亚数控,,20230224,18.36,2.023,2.72,16.3811,66.0%,51.0%,24.75,9.2~32.64,10.61~31.07,,1.5,0.5,27.21,23.72,,,
51,603605.SH,珀莱雅,,20230224,182.0,0.335,0.32,72.9711,68.5%,83.5%,20.52,60.22~86.66,33.73~87.71,,1.5,0.58,30.36,35.45,,,
52,600809.SH,山西汾酒,长期,20230224,281.88,0.6386,0.3,45.5931,89.0%,46.5%,30.23,33.5~103.54,18.77~92.51,,1.5,0.85,37.42,47.02,,,
53,603868.SH,飞科电器,,20230224,83.7,1.1947,1.43,41.436,90.0%,103.5%,28.59,24.77~41.31,19.4~38.42,,1.25,1.2,71.06,27.71,,,
54,603848.SH,好太太,,20230224,17.84,1.4013,1.29,28.1512,98.0%,100.5%,20.09,15.51~23.73,13.08~33.52,,1.5,0.23,34.0,21.27,,,
55,600276.SH,恒瑞医药,长期,20230224,43.19,0.3704,0.44,78.7978,100.0%,80.5%,21.4,36.39~98.69,42.63~95.27,,1.75,0.19,17.99,10.67,20210810.0,57.559,56.74
56,300450.SZ,先导智能,,20230224,43.89,1.1375,0.66,30.6031,103.0%,25.5%,21.81,24.12~123.74,10.92~109.58,,1.75,0.29,31.15,57.7,,,
57,002271.SZ,东方雨虹,,20230224,35.08,0.8518,0.77,27.7678,115.5%,62.5%,22.73,17.62~44.82,10.13~42.99,,2.0,0.27,20.63,51.15,,,
58,000661.SZ,长春高新,长期,20230224,195.12,0.4075,0.43,19.3794,119.0%,24.5%,24.93,6.34~78.68,14.5~74.54,,1.5,0.84,12.95,28.62,,,
59,000651.SZ,格力电器,长期,20230224,36.56,8.0677,5.63,8.0039,123.5%,37.0%,23.67,3.06~22.74,4.3~20.5,,1.75,2.06,46.15,61.2,,,
60,603638.SH,艾迪精密,,20230224,20.0,0.601,0.9,68.6027,150.0%,84.0%,21.72,34.86~84.3,22.51~78.57,,1.75,0.18,23.53,29.89,,,
61,300571.SZ,平治信息,,20230224,36.57,0.3008,0.6,27.4013,160.0%,69.5%,32.07,16.14~32.02,7.8~49.94,,1.75,0.22,14.21,56.17,,,
62,600690.SH,海尔智家,,20230224,26.54,1.7153,1.43,16.9423,161.0%,50.5%,19.31,7.61~35.59,5.64~31.32,,1.75,0.38,34.95,66.12,,,
63,600763.SH,通策医疗,,20230224,155.8,,0.05,83.5541,280.0%,44.0%,20.27,30.84~202.28,17.02~176.24,,1.75,0.08,17.52,34.43,,,
64,600309.SH,万华化学,长期,20230224,101.74,2.4572,1.69,19.6706,439.0%,57.5%,35.67,4.58~36.26,3.03~31.73,,1.5,1.72,41.66,56.12,,,
65,603180.SH,金牌厨柜,,20230224,42.7,2.4845,2.18,19.125,449.5%,61.0%,21.88,10.35~25.09,2.09~40.71,,1.75,0.93,32.75,48.19,,,
