,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
16,600085.SH,同仁堂,长期,20210924,31.64,0.8534,36.9265,14.33%,74.0%,30.88~46.3,33.11~49.83,32.58~53.34,
17,000049.SZ,德赛电池,,20210924,33.29,2.0719,13.0751,16.33%,38.33%,13.01~24.53,9.32~39.58,11.95~43.97,
18,002508.SZ,老板电器,,20210924,33.51,1.4887,17.2947,17.33%,59.67%,14.3~24.76,14.07~30.53,15.59~31.91,
19,603811.SH,诚意药业,,20210924,14.88,1.6801,19.3008,17.33%,48.67%,18.89~31.11,15.42~45.18,15.42~45.18,
20,002867.SZ,周大生,,20210924,19.07,2.0975,16.1715,18.0%,59.0%,14.15~23.39,13.42~29.72,13.42~29.72,
21,300662.SZ,科锐国际,,20210924,50.4,,46.0516,18.0%,70.0%,38.11~63.81,39.23~66.13,39.23~66.13,
22,300638.SZ,广和通,,20210924,41.89,0.4191,49.6594,19.0%,62.33%,39.7~75.96,42.67~81.27,42.67~81.27,
23,603338.SH,浙江鼎力,,20210924,59.69,0.4356,38.011,20.0%,61.67%,30.66~59.84,33.38~57.38,30.59~67.15,
24,000895.SZ,双汇发展,长期,20210924,26.55,8.7382,15.993,20.0%,60.33%,13.27~28.29,13.43~26.11,13.11~24.87,
25,600298.SH,安琪酵母,长期,20210924,44.99,1.0996,25.3114,20.33%,56.0%,20.37~42.45,22.4~40.56,20.11~52.89,
26,603848.SH,好太太,,20210924,12.57,1.9889,16.089,21.33%,44.0%,16.93~28.23,11.96~41.76,11.96~41.76,
27,000651.SZ,格力电器,长期,20210924,37.91,9.9423,9.0249,21.67%,45.0%,7.66~21.42,8.03~19.65,6.6~18.8,
28,603589.SH,口子窖,,20210924,50.5,2.3638,20.5172,29.33%,62.33%,15.07~29.41,17.09~31.63,15.52~37.86,
29,603801.SH,志邦家居,,20210924,21.93,2.6019,13.8015,30.0%,39.0%,11.25~29.03,10.29~39.33,10.29~39.33,
30,002901.SZ,大博医疗,,20210924,54.61,1.4649,33.6057,30.0%,44.67%,24.28~75.5,26.6~73.88,26.6~73.88,
31,600887.SH,伊利股份,长期,20210924,37.08,2.2116,26.028,31.33%,74.33%,21.77~35.85,19.86~34.72,17.96~33.38,
32,002236.SZ,大华股份,,20210924,24.07,1.1134,17.2621,34.67%,61.0%,14.22~20.66,11.88~31.96,12.45~37.13,
33,002507.SZ,涪陵榨菜,长期,20210924,29.52,,34.9874,36.33%,69.0%,24.41~51.09,25.91~48.73,26.52~50.78,
34,603833.SH,欧派家居,,20210924,130.25,0.9139,30.6827,40.0%,64.67%,20.71~43.65,22.48~49.18,22.48~49.18,
35,603899.SH,晨光股份,长期,20210924,65.7,0.7608,41.8303,40.67%,66.67%,32.94~66.1,27.62~60.82,28.73~59.81,
36,601155.SH,新城控股,,20210924,36.57,5.6046,5.0538,42.33%,39.67%,4.85~8.73,3.87~14.27,2.62~18.3,修正标准差
37,603868.SH,飞科电器,,20210924,38.7,2.584,25.3179,43.67%,63.67%,16.06~35.84,18.36~40.48,18.37~42.81,
38,000333.SZ,美的集团,长期,20210924,67.2,2.3583,16.5753,47.0%,69.67%,12.51~24.43,12.37~23.63,9.39~22.81,
39,603886.SH,元祖股份,,20210924,18.75,5.3333,13.3773,48.33%,43.67%,12.49~21.63,7.87~37.45,7.87~37.45,
40,600036.SH,招商银行,长期,20210924,48.77,2.5692,11.3149,53.33%,88.33%,8.39~13.17,7.7~12.68,6.28~12.36,
41,000848.SZ,承德露露,,20210924,11.62,2.1835,24.4049,56.0%,95.0%,14.86~23.4,16.07~25.27,15.89~28.41,
42,603444.SH,吉比特,,20210924,396.8,3.0242,20.4095,57.0%,49.33%,13.33~41.71,12.76~40.34,12.76~40.34,
43,002833.SZ,弘亚数控,,20210924,35.23,1.622,21.922,61.67%,58.0%,13.28~32.22,13.67~40.89,13.67~40.89,
44,600600.SH,青岛啤酒,长期,20210924,79.05,0.9488,39.0541,61.67%,66.33%,27.88~61.3,25.73~58.51,20.13~55.27,
45,603360.SH,百傲化学,,20210924,13.98,4.1094,16.844,62.0%,44.0%,10.14~33.54,10.52~40.94,10.52~40.94,
46,002415.SZ,海康威视,,20210924,52.48,1.5256,32.1422,69.0%,78.67%,19.02~39.7,19.76~41.8,18.14~39.92,
47,603203.SH,快克股份,,20210924,35.3,1.8886,28.0735,81.33%,71.33%,19.96~28.56,13.87~47.73,13.87~47.73,
48,603369.SH,今世缘,,20210924,44.37,1.0142,29.5745,84.67%,70.33%,18.04~45.78,15.06~41.08,15.15~38.55,
49,300628.SZ,亿联网络,,20210924,80.08,0.8117,50.2314,91.67%,89.67%,27.3~57.22,25.51~54.77,25.51~54.77,
50,002271.SZ,东方雨虹,,20210924,40.4,0.7426,26.6249,93.67%,67.0%,12.65~42.21,14.07~38.87,14.58~37.94,
51,603568.SH,伟明环保,,20210924,28.91,1.0478,23.6954,99.0%,54.33%,19.31~30.21,16.01~44.75,7.24~71.04,
52,002884.SZ,凌霄泵业,,20210924,21.95,4.2304,19.051,102.67%,79.0%,9.51~21.37,9.33~25.57,9.33~25.57,
53,603180.SH,金牌厨柜,,20210924,30.52,1.9698,14.8384,107.0%,37.67%,15.77~24.75,5.63~53.33,5.63~53.33,
54,600885.SH,宏发股份,,20210924,63.55,0.535,47.5631,115.0%,95.33%,22.02~53.92,22.15~49.01,21.94~46.92,
55,603288.SH,海天味业,长期,20210924,100.74,0.7865,65.2604,138.0%,74.0%,41.43~95.43,26.47~87.47,20.97~80.65,
56,002304.SZ,洋河股份,,20210924,164.01,1.8174,31.9214,141.33%,86.67%,12.85~39.91,13.94~36.38,12.85~33.87,
57,600519.SH,贵州茅台,长期,20210924,1694.0,1.1389,43.6516,144.67%,82.67%,23.71~56.99,21.33~51.73,12.6~49.5,
58,000858.SZ,五粮液,长期,20210924,200.52,1.2867,34.9035,158.33%,68.33%,17.52~56.24,15.2~50.16,10.04~46.96,
59,603605.SH,珀莱雅,,20210924,181.98,0.3956,69.9335,165.67%,79.0%,33.32~90.2,23.76~86.38,23.76~86.38,
60,300571.SZ,平治信息,,20210924,39.45,0.2535,18.6126,178.0%,33.33%,19.56~32.82,5.04~81.64,5.04~81.64,
61,300357.SZ,我武生物,,20210924,56.45,0.2834,92.7377,183.0%,76.33%,46.93~134.05,27.83~119.67,29.05~111.21,
62,603198.SH,迎驾贡酒,,20210924,53.98,1.2968,35.634,189.67%,103.67%,12.36~31.6,14.07~30.85,10.84~42.06,
63,600690.SH,海尔智家,,20210924,24.66,1.4733,17.8909,192.33%,60.33%,5.61~33.13,6.55~28.91,6.25~26.81,
64,300015.SZ,爱尔眼科,长期,20210924,51.88,0.2204,129.639,196.33%,81.0%,58.8~176.8,38.96~158.2,38.41~145.47,
65,600436.SH,片仔癀,长期,20210924,339.65,0.265,106.6166,266.67%,98.67%,30.68~120.6,30.31~106.35,26.52~98.34,
66,603639.SH,海利尔,,20210924,19.69,1.0883,17.479,289.33%,68.33%,11.45~15.93,3.44~35.94,3.44~35.94,
67,300450.SZ,先导智能,,20210924,70.99,0.2452,106.6736,388.67%,102.33%,18.32~104.56,23.74~97.56,24.51~110.57,
68,300595.SZ,欧普康视,,20210924,79.89,0.1833,121.039,392.33%,82.67%,35.07~158.97,21.38~140.2,21.38~140.2,
69,600809.SH,山西汾酒,长期,20210924,321.71,0.0444,78.2237,451.0%,81.33%,12.96~103.44,14.53~89.79,15.26~94.64,
70,600763.SH,通策医疗,,20210924,284.12,,130.44,494.0%,77.0%,35.31~190.07,17.58~163.6,19.4~154.06,
