,证券代码,证券简称,跟踪时间,日期,收盘价,股息率,PE_TTM,距离买点,距离卖点,三年估值范围,五年估值范围,七年估值范围,数据修正
25,600298.SH,安琪酵母,长期,20230203,41.77,1.1471,30.5615,31.67%,72.67%,24.24~43.02,22.24~40.56,23.03~41.89,
26,603866.SH,桃李面包,,20230203,17.13,2.5019,35.2423,32.67%,69.67%,23.69~49.53,27.17~50.01,28.99~51.17,
27,600600.SH,青岛啤酒,长期,20230203,104.09,1.057,37.255,33.0%,63.33%,31.61~61.27,29.37~57.61,23.86~56.42,
28,002833.SZ,弘亚数控,,20230203,15.01,2.4745,13.3922,34.33%,38.67%,9.43~32.69,10.68~31.4,9.84~39.02,
29,300653.SZ,正海生物,,20230203,50.02,1.1729,49.413,35.33%,66.67%,34.55~74.91,37.08~72.68,37.93~72.55,
30,002415.SZ,海康威视,,20230203,36.7,2.4705,23.4178,37.33%,58.0%,16.3~40.56,17.42~39.38,17.24~39.82,
31,601318.SH,中国平安,长期,20230203,49.6,4.8013,9.4014,37.67%,70.0%,6.5~11.88,6.97~13.57,6.94~14.96,
32,000651.SZ,格力电器,长期,20230203,34.7,8.5001,7.5967,39.33%,38.0%,4.67~21.39,5.56~19.42,6.3~18.82,
33,603833.SH,欧派家居,,20230203,125.02,1.3998,29.9521,40.0%,66.33%,22.13~43.49,20.53~43.83,21.25~46.89,
34,300450.SZ,先导智能,,20230203,47.7,1.0466,33.2597,40.67%,30.67%,32.46~116.34,18.47~102.69,23.64~101.78,
35,603811.SH,诚意药业,,20230203,15.02,1.6644,22.6214,42.33%,65.0%,16.86~30.66,17.39~32.63,13.83~42.59,
36,600085.SH,同仁堂,长期,20230203,46.19,0.6278,48.3484,42.33%,92.33%,35.35~52.67,32.23~51.51,34.28~51.6,
37,000049.SZ,德赛电池,,20230203,48.63,1.547,16.0317,44.33%,57.33%,12.68~24.66,12.85~23.69,8.74~39.46,
38,603899.SH,晨光股份,长期,20230203,56.3,1.0667,39.0631,47.33%,63.0%,25.88~66.94,27.4~61.14,25.97~57.35,
39,601155.SH,新城控股,,20230203,20.18,,4.5233,49.33%,45.67%,3.6~7.02,2.74~10.72,2.85~14.17,
40,600519.SH,贵州茅台,长期,20230203,1818.0,2.3974,38.3222,49.67%,70.0%,33.99~57.09,25.15~54.33,20.65~51.79,
41,002508.SZ,老板电器,,20230203,29.45,1.689,22.8567,51.0%,86.33%,16.64~24.8,14.51~24.79,14.36~30.4,
42,603288.SH,海天味业,长期,20230203,78.59,0.8791,54.9263,54.0%,61.33%,46.89~95.59,39.52~87.88,26.53~83.93,
43,000538.SZ,云南白药,长期,20230203,56.7,2.0149,38.3306,64.33%,103.0%,23.8~38.06,23.14~36.8,22.87~36.31,
44,603848.SH,好太太,,20230203,13.35,1.8727,21.066,65.0%,68.0%,15.55~23.65,12.85~34.07,10.65~38.75,
45,603886.SH,元祖股份,,20230203,19.57,5.1099,15.3527,68.0%,64.67%,11.51~18.25,11.23~22.65,6.52~34.92,
46,002304.SZ,洋河股份,,20230203,175.5,1.7088,28.2349,69.33%,72.67%,20.12~41.64,15.91~38.45,14.72~36.12,
47,000661.SZ,长春高新,长期,20230203,199.45,0.3987,19.8095,69.67%,26.0%,7.26~79.74,15.02~74.6,18.58~69.56,
48,300015.SZ,爱尔眼科,长期,20230203,33.15,0.2727,88.872,71.0%,55.33%,65.18~176.44,54.52~158.22,41.49~146.99,
49,603369.SH,今世缘,,20230203,60.36,0.9715,31.3964,72.0%,73.67%,21.75~45.61,17.67~42.17,16.03~39.35,
50,603868.SH,飞科电器,,20230203,68.52,1.4594,33.9211,72.67%,80.0%,22.51~42.85,17.5~40.16,19.33~43.77,
51,603605.SH,珀莱雅,,20230203,162.02,0.3763,64.9603,73.67%,74.0%,60.03~86.63,32.86~87.72,29.97~87.45,
52,002271.SZ,东方雨虹,,20230203,35.83,0.8339,28.3615,76.0%,72.0%,20.69~41.47,14.21~38.91,14.77~36.99,
53,000858.SZ,五粮液,长期,20230203,210.0,1.4395,31.3045,84.67%,61.0%,20.99~55.77,16.87~50.61,14.19~47.31,
54,300357.SZ,我武生物,,20230203,55.11,0.3647,73.87,84.67%,60.67%,55.83~131.87,41.58~120.92,30.12~112.18,
55,300595.SZ,欧普康视,,20230203,36.92,0.3765,53.5432,85.0%,37.0%,42.05~159.09,26.7~139.94,23.41~132.39,
56,603444.SH,吉比特,,20230203,355.65,8.4352,20.0509,85.33%,51.33%,11.37~41.41,10.01~36.91,11.12~38.0,
57,600276.SH,恒瑞医药,长期,20230203,42.8,0.3738,78.0863,85.67%,85.33%,40.83~94.27,46.29~91.33,39.35~87.33,
58,603203.SH,快克股份,,20230203,35.24,2.8206,32.789,86.0%,97.0%,21.2~29.06,19.52~30.6,13.8~45.06,
59,600436.SH,片仔癀,长期,20230203,304.6,0.3972,74.4298,90.0%,64.0%,51.81~126.65,37.41~114.87,32.44~105.9,
60,603639.SH,海利尔,,20230203,25.73,3.8915,15.3789,99.67%,67.33%,12.17~19.31,10.72~19.66,4.65~33.67,
61,603801.SH,志邦家居,,20230203,30.18,1.9684,18.0846,101.67%,55.33%,10.51~29.05,8.37~32.61,8.3~36.66,
62,600690.SH,海尔智家,,20230203,25.91,1.757,16.5401,106.67%,55.0%,9.45~33.61,7.47~29.53,7.36~27.14,
63,002901.SZ,大博医疗,,20230203,38.35,1.3038,37.013,107.33%,51.67%,14.94~74.54,19.28~68.42,20.07~69.89,
64,603039.SH,ST泛微,,20230203,63.51,0.2328,62.4609,110.33%,47.67%,22.43~137.81,35.66~127.54,35.02~123.14,
65,600809.SH,山西汾酒,长期,20230203,286.58,0.6281,46.3533,116.0%,49.33%,32.99~103.67,18.8~92.64,17.68~84.92,
66,603198.SH,迎驾贡酒,,20230203,66.8,1.3473,32.9264,117.33%,89.33%,18.09~38.93,13.22~35.64,14.86~35.7,
67,300701.SZ,森霸传感,,20230203,9.15,1.2095,37.4565,119.67%,74.67%,15.93~42.57,18.18~52.0,17.13~56.81,
68,600763.SH,通策医疗,,20230203,162.97,,87.3993,225.33%,51.67%,42.57~190.07,27.93~165.01,19.03~149.41,
69,603180.SH,金牌厨柜,,20230203,33.78,3.1405,15.1298,250.33%,43.33%,11.43~24.05,3.97~39.79,2.81~48.99,
70,300571.SZ,平治信息,,20230203,37.1,0.2965,27.7984,474.67%,61.33%,17.23~31.03,10.47~47.85,2.14~75.06,
